date,hour,year,provider,alt,technology,support,risk_ratio,outlier_count,total_count
2018-11-28,,,,170.0,,0.0014716703458425313,3.5151327101837126,2.0,57.0
2018-07-27,,,,160.0,,0.0014716703458425313,3.454501562777933,2.0,58.0
2017-01-31,,,,150.0,,0.0014716703458425313,25.054347826086957,2.0,8.0
2017-12-21,,,,160.0,,0.0014716703458425313,6.262481577008106,2.0,32.0
2016-04-21,14,,,,,0.0014716703458425313,3.8532679553313307,2.0,52.0
2017-11-14,,,,20.0,,0.0014716703458425313,6.680078604765414,2.0,30.0
2017-02-27,,,,100.0,,0.0014716703458425313,5.72557111274871,2.0,35.0
2017-06-28,,,,130.0,,0.0014716703458425313,6.262481577008106,2.0,32.0
2016-09-08,,,,100.0,,0.0014716703458425313,3.2845355593945182,2.0,61.0
2017-10-24,,,,70.0,,0.0014716703458425313,25.054347826086957,2.0,8.0
2018-03-06,,,,70.0,,0.0014716703458425313,8.0163890935888,2.0,25.0
2018-09-28,,,,150.0,,0.0014716703458425313,4.263346869659292,2.0,47.0
2018-07-27,,,,100.0,,0.0014716703458425313,4.4528944567264395,2.0,45.0
2018-02-12,,,,180.0,,0.0014716703458425313,13.361631048882337,2.0,15.0
2016-06-30,,,,70.0,,0.0014716703458425313,3.577929255711127,2.0,56.0
2016-09-15,,,,70.0,,0.0014716703458425313,3.3393023827069515,2.0,60.0
2017-06-20,,,,140.0,,0.0014716703458425313,3.7104997407134475,2.0,54.0
,8,,,200.0,,0.0014716703458425313,6.464544654955191,2.0,31.0
2015-12-16,,,,50.0,,0.0014716703458425313,5.138181886892277,2.0,39.0
2018-01-11,,,,120.0,,0.0014716703458425313,4.4528944567264395,2.0,45.0
2017-02-21,,,,70.0,,0.0014716703458425313,10.548345809254158,2.0,19.0
2017-02-06,,,,200.0,,0.0014716703458425313,3.2845355593945182,2.0,61.0
2018-04-05,,,,110.0,,0.0014716703458425313,4.08927255500579,2.0,49.0
2018-01-24,,,,90.0,,0.0014716703458425313,4.174496438221567,2.0,48.0
2017-06-08,,,,120.0,,0.0014716703458425313,3.3959257085045524,2.0,59.0
2016-03-07,,,,130.0,,0.0014716703458425313,11.134446900843363,2.0,18.0
2016-07-19,,,,90.0,,0.0014716703458425313,3.03559545342891,2.0,66.0
2018-06-20,,,,120.0,,0.0014716703458425313,3.9288511277760922,2.0,51.0
2017-02-08,,,,130.0,,0.0014716703458425313,4.08927255500579,2.0,49.0
2016-04-21,15,,,,,0.0014716703458425313,3.8532679553313307,2.0,52.0
2018-06-15,,,,110.0,,0.0014716703458425313,5.009690493736183,2.0,40.0
2015-12-15,10,,,,,0.0014716703458425313,5.416001115337887,2.0,37.0
2016-06-14,9,,,,,0.0014716703458425313,8.71359456601839,2.0,23.0
2017-01-31,,,,130.0,,0.0014716703458425313,3.9288511277760922,2.0,51.0
2017-10-24,,,,60.0,,0.0014716703458425313,3.3393023827069515,2.0,60.0
,7,,,160.0,,0.0014716703458425313,3.1802178007041673,2.0,63.0
2016-03-07,,,,150.0,,0.0014716703458425313,5.416001115337887,2.0,37.0
,18,,,90.0,,0.0014716703458425313,6.910476964907376,2.0,29.0
2018-03-13,8,,,150.0,,0.0014716703458425313,3.454501562777933,2.0,58.0
2018-04-05,9,,,170.0,,0.0014716703458425313,3.130503868828298,2.0,64.0
2016-09-15,9,,,60.0,,0.0014716703458425313,4.08927255500579,2.0,49.0
2018-01-30,14,,,110.0,,0.0014716703458425313,3.130503868828298,2.0,64.0
2017-03-14,14,,,80.0,,0.0014716703458425313,3.7805369780731635,2.0,53.0
2018-04-18,11,,,80.0,,0.0014716703458425313,6.262481577008106,2.0,32.0
2016-06-14,15,,,20.0,,0.0014716703458425313,9.10973403898975,2.0,22.0
2017-01-04,13,,,160.0,,0.0014716703458425313,4.771063620732007,2.0,42.0
2017-03-02,10,,,150.0,,0.0014716703458425313,5.273435984951324,2.0,38.0
2018-04-05,11,,,180.0,,0.0014716703458425313,5.138181886892277,2.0,39.0
,12,2016,,20.0,,0.0014716703458425313,3.5151327101837126,2.0,57.0
,13,,24602,190.0,,0.0014716703458425313,7.157332350773765,2.0,28.0
2017-02-27,14,,,110.0,,0.0014716703458425313,5.009690493736183,2.0,40.0
2018-05-09,,,24603,90.0,,0.0014716703458425313,5.416001115337887,2.0,37.0
,15,2017,,70.0,,0.0014716703458425313,3.03559545342891,2.0,66.0
2017-10-24,12,,,110.0,,0.0014716703458425313,4.35606036333344,2.0,46.0
2016-01-29,10,,,190.0,,0.0014716703458425313,5.416001115337887,2.0,37.0
2016-05-16,9,,,180.0,,0.0014716703458425313,6.680078604765414,2.0,30.0
2017-01-31,8,,,140.0,,0.0014716703458425313,3.1802178007041673,2.0,63.0
2018-03-13,9,,,180.0,,0.0014716703458425313,10.548345809254158,2.0,19.0
,7,,24602,0.0,,0.0014716703458425313,8.71359456601839,2.0,23.0
,16,2017,,30.0,,0.0014716703458425313,6.262481577008106,2.0,32.0
2017-09-26,9,,,60.0,,0.0014716703458425313,3.577929255711127,2.0,56.0
