date,hour,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2017-01-31,,,,130.0,,,0.0014716703458425313,3.9288511277760922,2.0,51.0
,,,,80.0,,55.97,0.0014716703458425313,5.566486530745926,2.0,36.0
,14,,,,,55.2,0.0014716703458425313,7.708009750014171,2.0,26.0
,,2015,,,,55.65,0.0014716703458425313,4.35606036333344,2.0,46.0
2017-10-19,,,,,,55.87,0.0014716703458425313,40.08784082535004,2.0,5.0
,,,,170.0,,54.65,0.0014716703458425313,4.887466973416971,2.0,41.0
,,,,60.0,,55.06,0.0014716703458425313,5.8940136113398935,2.0,34.0
,,,,120.0,,54.98,0.0014716703458425313,4.174496438221567,2.0,48.0
2016-03-07,,,,150.0,,,0.0014716703458425313,5.416001115337887,2.0,37.0
,7,,,160.0,,,0.0014716703458425313,3.1802178007041673,2.0,63.0
2018-03-15,,,,,,56.17,0.0014716703458425313,20.043183492999262,2.0,10.0
2017-03-27,,,,,,54.38,0.0014716703458425313,4.4528944567264395,2.0,45.0
,,,,170.0,,55.38,0.0014716703458425313,8.71359456601839,2.0,23.0
,,,,120.0,,55.81,0.0014716703458425313,7.708009750014171,2.0,26.0
,,,,170.0,,55.39,0.0014716703458425313,10.548345809254158,2.0,19.0
2017-01-31,,,,150.0,,,0.0014716703458425313,25.054347826086957,2.0,8.0
,,,,160.0,,54.86,0.0014716703458425313,13.361631048882337,2.0,15.0
2018-02-22,,,,,,54.84,0.0014716703458425313,9.10973403898975,2.0,22.0
,16,,,,,55.74,0.0014716703458425313,3.0823195963947625,2.0,65.0
2017-06-08,,,,120.0,,,0.0014716703458425313,3.3959257085045524,2.0,59.0
2018-03-15,,,,,,56.16,0.0014716703458425313,20.043183492999262,2.0,10.0
,,,,160.0,,55.5,0.0014716703458425313,5.273435984951324,2.0,38.0
,16,,,,,56.24,0.0014716703458425313,3.0823195963947625,2.0,65.0
,,,,170.0,,55.56,0.0014716703458425313,6.680078604765414,2.0,30.0
,,,,80.0,,56.07,0.0014716703458425313,5.273435984951324,2.0,38.0
2016-09-06,,,,,,55.94,0.0014716703458425313,16.7024072709408,2.0,12.0
2018-06-20,,,,120.0,,,0.0014716703458425313,3.9288511277760922,2.0,51.0
,,,,150.0,,55.5,0.0014716703458425313,4.174496438221567,2.0,48.0
2018-07-27,,,,160.0,,,0.0014716703458425313,3.454501562777933,2.0,58.0
,,,,180.0,,54.71,0.0014716703458425313,3.23153540780184,2.0,62.0
,,,,130.0,,55.14,0.0014716703458425313,16.7024072709408,2.0,12.0
,17,,,,,56.24,0.0014716703458425313,15.417493339379854,2.0,13.0
,,,,170.0,,54.39,0.0014716703458425313,10.020854826823877,2.0,20.0
2017-12-21,,,,160.0,,,0.0014716703458425313,6.262481577008106,2.0,32.0
2017-06-20,,,,140.0,,,0.0014716703458425313,3.7104997407134475,2.0,54.0
,,,,160.0,,55.17,0.0014716703458425313,3.7104997407134475,2.0,54.0
,,,,160.0,,54.55,0.0014716703458425313,8.0163890935888,2.0,25.0
,,,,120.0,,55.03,0.0014716703458425313,3.130503868828298,2.0,64.0
,,,,160.0,,55.54,0.0014716703458425313,4.887466973416971,2.0,41.0
2016-06-15,,,,,,55.62,0.0014716703458425313,40.08784082535004,2.0,5.0
2017-03-27,,,,,,54.32,0.0014716703458425313,4.35606036333344,2.0,46.0
2015-12-15,,,,,,55.96,0.0014716703458425313,9.10973403898975,2.0,22.0
