date,hour,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
,,,,,,56.03,0.011037527593818985,3.972804180727409,15.0,381.0
,,,,,,56.02,0.01177336276674025,3.4502421546353044,16.0,468.0
,,,,,,55.79,0.01177336276674025,3.557004667701018,16.0,454.0
,11,2017,,100.0,,,0.01177336276674025,3.6705611588709126,16.0,440.0
,,,,,,54.41,0.012509197939661517,3.047438541134491,17.0,563.0
2017-02-08,9,,,,,,0.012509197939661517,5.599188337694239,17.0,307.0
,,,24601,,,,0.8646063281824872,12.834202988354674,1175.0,45187.0
,,,,,DC-HSPA+,,1.0,Infinity,1359.0,74578.0
