date,hour,lng,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2017-11-14,,23.2,,,,,,0.0010292604028819291,4.669860661367874,7.0,30.0
2015-10-26,,,,,60,,,0.0010292604028819291,3.416694788084178,7.0,41.0
2017-06-20,,23.4,,,,,,0.0010292604028819291,7.0053061524874884,7.0,20.0
2015-06-02,,,,,,,55.4,0.0010292604028819291,3.891378830994668,7.0,36.0
2016-06-15,,21.6,,,,,,0.0010292604028819291,6.36836647309123,7.0,22.0
,08,,2014,,,,,0.0010292604028819291,3.5919627423895895,7.0,39.0
,,25.2,,,80,,,0.0010292604028819291,4.245234208437035,7.0,33.0
,18,,,,90,,,0.0010292604028819291,4.8309258676519855,7.0,29.0
2014-09-23,08,,,,,,,0.0010292604028819291,3.5919627423895895,7.0,39.0
2017-09-29,,,,,,,54.8,0.0010292604028819291,3.3353203807280933,7.0,42.0
2015-08-26,,24.5,,,,,,0.0010292604028819291,3.112897000621463,7.0,45.0
2016-06-14,,23.2,,,,,,0.0010292604028819291,8.24171847131552,7.0,17.0
2017-02-08,,,,,170,,,0.0010292604028819291,6.091436177701553,7.0,23.0
,18,,,,,,56.2,0.0010292604028819291,5.003495731527819,7.0,28.0
,,,,,190,,54.2,0.0010292604028819291,3.1836680761099365,7.0,44.0
2015-06-02,,24.7,,,,,,0.0010292604028819291,3.257730829528106,7.0,43.0
,08,,2015,,,,55.4,0.0010292604028819291,3.891378830994668,7.0,36.0
2015-11-10,10,,,,,,54.4,0.0010292604028819291,3.686515191422772,7.0,38.0
2016-06-14,,21.1,,,20,,,0.0010292604028819291,3.045202928415098,7.0,46.0
,11,23.4,,,,,55.3,0.0010292604028819291,7.0053061524874884,7.0,20.0
2015-07-21,,22.6,,,30,,,0.0010292604028819291,4.245234208437035,7.0,33.0
,14,,,,20,,55.3,0.0010292604028819291,3.891378830994668,7.0,36.0
,09,,,,210,,54.7,0.0010292604028819291,3.5919627423895895,7.0,39.0
,,22.9,2015,,,,56.0,0.0010292604028819291,4.245234208437035,7.0,33.0
,,,2017,,170,,55.4,0.0010292604028819291,3.7861785836469384,7.0,37.0
,09,23.2,2016,,,,,0.0010292604028819291,4.8309258676519855,7.0,29.0
,,23.8,2017,,,,55.1,0.0010292604028819291,4.245234208437035,7.0,33.0
2016-05-16,09,25.3,,,,,,0.0010292604028819291,3.1836680761099365,7.0,44.0
,10,,,,150,,55.2,0.0010292604028819291,3.7861785836469384,7.0,37.0
,11,23.7,2016,,,,,0.0010292604028819291,3.1836680761099365,7.0,44.0
2015-08-26,,,,24603,30,,,0.0010292604028819291,3.3353203807280933,7.0,42.0
2016-05-16,11,,,,160,,,0.0010292604028819291,3.112897000621463,7.0,45.0
,14,21.6,,,,,55.3,0.0010292604028819291,5.388459274020063,7.0,26.0
,,22.6,2015,,30,,,0.0010292604028819291,4.245234208437035,7.0,33.0
2017-02-27,,,,,170,,55.4,0.0010292604028819291,3.7861785836469384,7.0,37.0
,,,,24603,210,,54.7,0.0010292604028819291,3.891378830994668,7.0,36.0
2017-02-27,10,,,,150,,,0.0010292604028819291,4.120344075222082,7.0,34.0
,12,24.7,2018,,,,,0.0010292604028819291,3.686515191422772,7.0,38.0
2017-06-19,16,,,,20,,,0.0010292604028819291,6.671671082327543,7.0,21.0
2018-01-30,,,,,140,,55.9,0.0010292604028819291,3.1836680761099365,7.0,44.0
,,,2017,,200,,54.7,0.0010292604028819291,4.519186758714995,7.0,31.0
,14,24.4,,,70,,,0.0010292604028819291,4.002590521047983,7.0,35.0
,13,,,,160,,54.8,0.0010292604028819291,3.3353203807280933,7.0,42.0
,15,,2016,,,,56.0,0.0010292604028819291,3.3353203807280933,7.0,42.0
,,23.4,2017,,,,55.3,0.0010292604028819291,7.0053061524874884,7.0,20.0
2015-07-21,,22.4,,,,,55.1,0.0010292604028819291,4.002590521047983,7.0,35.0
,,21.6,2016,,,,55.3,0.0010292604028819291,7.374060703716902,7.0,19.0
2015-07-21,,22.6,,,,,55.1,0.0010292604028819291,3.686515191422772,7.0,38.0
2016-06-15,12,,,,,,55.1,0.0010292604028819291,3.3353203807280933,7.0,42.0
2018-01-30,14,,,,60,,,0.0010292604028819291,3.257730829528106,7.0,43.0
2015-03-24,,,,,20,,55.9,0.0010292604028819291,3.045202928415098,7.0,46.0
,,,2018,,100,,55.7,0.0010292604028819291,3.112897000621463,7.0,45.0
,10,22.4,,,,,55.5,0.0010292604028819291,3.5919627423895895,7.0,39.0
2015-07-21,11,22.4,,,,,,0.0010292604028819291,4.002590521047983,7.0,35.0
,09,,,,50,,54.6,0.0010292604028819291,3.1836680761099365,7.0,44.0
,,22.4,2015,,,,55.1,0.0010292604028819291,4.002590521047983,7.0,35.0
2015-07-21,11,22.6,,,,,,0.0010292604028819291,3.686515191422772,7.0,38.0
,,24.5,2015,,,,56.1,0.0010292604028819291,3.7861785836469384,7.0,37.0
,,22.6,2015,,,,55.1,0.0010292604028819291,3.686515191422772,7.0,38.0
,,25.3,2017,,,,54.5,0.0010292604028819291,4.519186758714995,7.0,31.0
2016-02-29,09,,,,140,,,0.0010292604028819291,3.686515191422772,7.0,38.0
,,25.3,2017,,210,,,0.0010292604028819291,3.891378830994668,7.0,36.0
,,26.0,,,150,,55.0,0.0010292604028819291,3.7861785836469384,7.0,37.0
,14,21.6,,,20,,,0.0010292604028819291,5.388459274020063,7.0,26.0
,14,,2017,,20,,,0.0010292604028819291,4.120344075222082,7.0,34.0
2017-03-14,,24.1,,24603,,,,0.0010292604028819291,3.3353203807280933,7.0,42.0
,12,,,,110,,54.3,0.0010292604028819291,3.112897000621463,7.0,45.0
,08,,,,170,,54.8,0.0010292604028819291,3.112897000621463,7.0,45.0
2017-06-19,14,,,,20,,,0.0010292604028819291,4.245234208437035,7.0,33.0
,08,,2017,,,,54.5,0.0010292604028819291,4.519186758714995,7.0,31.0
2017-02-06,,25.4,,,200,,,0.0010292604028819291,3.1836680761099365,7.0,44.0
,14,21.6,2017,,,,,0.0010292604028819291,5.388459274020063,7.0,26.0
,,,2017,,30,,56.2,0.0010292604028819291,3.257730829528106,7.0,43.0
2017-03-27,,25.3,,,,,54.5,0.0010292604028819291,4.519186758714995,7.0,31.0
2017-10-24,,,,,30,,56.2,0.0010292604028819291,3.257730829528106,7.0,43.0
,,24.5,2018,,110,,,0.0010292604028819291,3.891378830994668,7.0,36.0
2017-01-04,,25.1,,,,,54.9,0.0010292604028819291,3.416694788084178,7.0,41.0
2018-01-30,09,24.0,,,,,,0.0010292604028819291,6.36836647309123,7.0,22.0
2017-03-27,08,,,,,,54.5,0.0010292604028819291,4.519186758714995,7.0,31.0
2015-03-24,,21.2,,,20,,,0.0010292604028819291,3.045202928415098,7.0,46.0
2015-12-15,10,,,,,,,0.0011762976032936333,4.3276982267119175,8.0,37.0
2016-06-14,,23.0,,,,,,0.0011762976032936333,6.6725060110898475,8.0,24.0
2018-02-13,07,,,,,,,0.0011762976032936333,3.8123558565189652,8.0,42.0
2016-11-16,10,,,,,,,0.0011762976032936333,4.709657865796105,8.0,34.0
,,24.8,,,180,,,0.0011762976032936333,4.003032533490358,8.0,40.0
,18,22.8,,,,,,0.0011762976032936333,3.6390134229086093,8.0,44.0
2015-11-10,,24.0,,,,,,0.0011762976032936333,4.213780439616633,8.0,38.0
2018-04-05,,,,,110,,,0.0011762976032936333,3.2675653508864166,8.0,49.0
2016-06-14,,22.9,,,,,,0.0011762976032936333,3.7236690300206434,8.0,43.0
2017-06-20,,,,,,,55.1,0.0011762976032936333,3.9053688696757423,8.0,41.0
2017-06-20,,23.8,,,,,,0.0011762976032936333,3.139379349561111,8.0,51.0
2017-06-20,,,,,20,,,0.0011762976032936333,4.3276982267119175,8.0,37.0
2015-12-15,,23.2,,,,,,0.0011762976032936333,3.558120287223776,8.0,45.0
2017-02-08,,,,,,,55.4,0.0011762976032936333,4.44794477975694,8.0,36.0
2016-03-07,,23.8,,,,,,0.0011762976032936333,3.2021904902105107,8.0,50.0
,11,23.2,,,70,,,0.0011762976032936333,4.44794477975694,8.0,36.0
2016-09-15,10,,,,100,,,0.0011762976032936333,3.406660799133025,8.0,47.0
,09,23.2,,,110,,,0.0011762976032936333,3.6390134229086093,8.0,44.0
,10,22.1,,,30,,,0.0011762976032936333,4.575062564404534,8.0,35.0
2016-03-30,,,,,80,,55.2,0.0011762976032936333,3.7236690300206434,8.0,43.0
,10,23.7,,,100,,,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-01-30,13,,,,110,,,0.0011762976032936333,3.6390134229086093,8.0,44.0
,11,,2017,,,,55.1,0.0011762976032936333,3.139379349561111,8.0,51.0
,09,,2017,,,,55.4,0.0011762976032936333,4.44794477975694,8.0,36.0
,,23.2,2018,,70,,,0.0011762976032936333,3.139379349561111,8.0,51.0
,09,,2016,,210,,,0.0011762976032936333,3.7236690300206434,8.0,43.0
2018-03-06,,23.5,,,140,,,0.0011762976032936333,3.6390134229086093,8.0,44.0
,,22.1,2017,,30,,,0.0011762976032936333,4.003032533490358,8.0,40.0
,,,2017,,100,,55.3,0.0011762976032936333,4.8524104581811045,8.0,33.0
,,,2017,,20,,55.3,0.0011762976032936333,3.7236690300206434,8.0,43.0
2018-03-06,,,,,140,,54.2,0.0011762976032936333,3.6390134229086093,8.0,44.0
2017-06-19,,22.1,,,30,,,0.0011762976032936333,4.003032533490358,8.0,40.0
2017-06-19,,,,,20,,55.3,0.0011762976032936333,3.7236690300206434,8.0,43.0
2018-09-14,,21.3,,24603,,,,0.0011762976032936333,3.335664164090485,8.0,48.0
,,25.4,,,170,,54.4,0.0011762976032936333,3.139379349561111,8.0,51.0
,,21.6,2017,,,,55.3,0.0011762976032936333,3.2675653508864166,8.0,49.0
2016-05-16,,25.3,,,160,,,0.0011762976032936333,3.406660799133025,8.0,47.0
,09,23.4,,,60,,,0.0011762976032936333,3.139379349561111,8.0,51.0
,10,,2015,,,,56.0,0.0011762976032936333,3.020867763430168,8.0,53.0
2017-01-31,09,24.0,,,,,,0.0011762976032936333,3.2021904902105107,8.0,50.0
2017-02-27,,25.3,,,170,,,0.0011762976032936333,3.2021904902105107,8.0,50.0
2015-12-15,,,,,100,,56.0,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-03-15,,,,,140,,56.0,0.0011762976032936333,4.44794477975694,8.0,36.0
,12,22.9,,,110,,,0.0011762976032936333,4.003032533490358,8.0,40.0
,11,22.6,,,30,,,0.0011762976032936333,3.7236690300206434,8.0,43.0
,10,22.9,,,,,56.0,0.0011762976032936333,3.7236690300206434,8.0,43.0
,10,23.0,,,,,56.0,0.0011762976032936333,6.6725060110898475,8.0,24.0
,,24.4,,,70,,54.8,0.0011762976032936333,4.213780439616633,8.0,38.0
2017-06-19,,,,,20,,55.7,0.0011762976032936333,5.930985600645545,8.0,27.0
,,23.8,,,50,,55.1,0.0011762976032936333,3.7236690300206434,8.0,43.0
,13,23.7,,,100,,,0.0011762976032936333,3.020867763430168,8.0,53.0
,,23.4,2017,,100,,,0.0011762976032936333,3.2021904902105107,8.0,50.0
,,,2016,,10,,56.0,0.0011762976032936333,3.4807442443948053,8.0,46.0
,,23.5,2018,,140,,,0.0011762976032936333,3.6390134229086093,8.0,44.0
,,22.0,,24602,,,55.1,0.0011762976032936333,3.2675653508864166,8.0,49.0
,,23.0,2016,,,,56.0,0.0011762976032936333,6.405558663329899,8.0,25.0
2018-01-30,,25.2,,,190,,,0.0011762976032936333,3.0789840220136115,8.0,52.0
,,22.6,,24602,,,55.1,0.0011762976032936333,4.213780439616633,8.0,38.0
,09,25.5,,,120,,,0.0011762976032936333,5.337769272290103,8.0,30.0
,,22.0,,,20,,55.1,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-03-06,13,24.0,,,,,,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-03-06,,24.0,,,,,54.4,0.0011762976032936333,3.020867763430168,8.0,53.0
