date,lng,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2017-06-20,21.3,,,,,0.0014716703458425313,11.134446900843363,2.0,18.0
2015-07-21,22.1,,,,,0.0014716703458425313,3.1802178007041673,2.0,63.0
,,,200,,54.5,0.0014716703458425313,5.138181886892277,2.0,39.0
,22.4,,150,,,0.0014716703458425313,5.72557111274871,2.0,35.0
2016-06-28,,,,,54.5,0.0014716703458425313,6.464544654955191,2.0,31.0
2018-05-09,24.9,,,,,0.0014716703458425313,3.3393023827069515,2.0,60.0
,25.9,,150,,,0.0014716703458425313,4.55413009981912,2.0,44.0
2017-02-08,24.5,,,,,0.0014716703458425313,7.157332350773765,2.0,28.0
2018-09-28,,,150,,,0.0014716703458425313,4.263346869659292,2.0,47.0
2017-02-06,,,,,54.5,0.0014716703458425313,6.910476964907376,2.0,29.0
2018-02-12,,,180,,,0.0014716703458425313,13.361631048882337,2.0,15.0
2017-06-20,22.4,,,,,0.0014716703458425313,10.020854826823877,2.0,20.0
,25.4,,,,54.5,0.0014716703458425313,13.361631048882337,2.0,15.0
2017-01-31,24.4,,,,,0.0014716703458425313,9.543601080815524,2.0,21.0
2017-09-19,24.1,,,,,0.0014716703458425313,3.6430093119849936,2.0,55.0
2015-12-16,,,50,,,0.0014716703458425313,5.138181886892277,2.0,39.0
2017-10-24,,,70,,,0.0014716703458425313,25.054347826086957,2.0,8.0
2018-03-06,,,70,,,0.0014716703458425313,8.0163890935888,2.0,25.0
,24.9,,,,54.7,0.0014716703458425313,4.08927255500579,2.0,49.0
,24.6,,70,,,0.0014716703458425313,6.910476964907376,2.0,29.0
,25.4,,210,,,0.0014716703458425313,6.464544654955191,2.0,31.0
2016-09-15,24.1,,,,,0.0014716703458425313,8.350466715794644,2.0,24.0
2017-06-20,,,140,,,0.0014716703458425313,3.7104997407134475,2.0,54.0
2018-01-24,,,,,55.5,0.0014716703458425313,5.138181886892277,2.0,39.0
