date,lng,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2015-06-02,24.7,,,,,0.0010292604028819291,3.257730829528106,7.0,43.0
,25.2,,80,,,0.0010292604028819291,4.245234208437035,7.0,33.0
2016-06-14,23.2,,,,,0.0010292604028819291,8.24171847131552,7.0,17.0
2017-09-29,,,,,54.8,0.0010292604028819291,3.3353203807280933,7.0,42.0
,,,190,,54.2,0.0010292604028819291,3.1836680761099365,7.0,44.0
2017-02-08,,,170,,,0.0010292604028819291,6.091436177701553,7.0,23.0
2017-06-20,23.4,,,,,0.0010292604028819291,7.0053061524874884,7.0,20.0
2016-06-15,21.6,,,,,0.0010292604028819291,6.36836647309123,7.0,22.0
2017-11-14,23.2,,,,,0.0010292604028819291,4.669860661367874,7.0,30.0
2015-06-02,,,,,55.4,0.0010292604028819291,3.891378830994668,7.0,36.0
2015-08-26,24.5,,,,,0.0010292604028819291,3.112897000621463,7.0,45.0
2015-10-26,,,60,,,0.0010292604028819291,3.416694788084178,7.0,41.0
2017-02-27,,,170,,55.4,0.0010292604028819291,3.7861785836469384,7.0,37.0
2015-07-21,22.4,,,,55.1,0.0010292604028819291,4.002590521047983,7.0,35.0
2018-01-30,,,140,,55.9,0.0010292604028819291,3.1836680761099365,7.0,44.0
2015-03-24,,,20,,55.9,0.0010292604028819291,3.045202928415098,7.0,46.0
2015-07-21,22.6,,,,55.1,0.0010292604028819291,3.686515191422772,7.0,38.0
,26.0,,150,,55.0,0.0010292604028819291,3.7861785836469384,7.0,37.0
2017-03-27,25.3,,,,54.5,0.0010292604028819291,4.519186758714995,7.0,31.0
2017-02-06,25.4,,200,,,0.0010292604028819291,3.1836680761099365,7.0,44.0
2017-10-24,,,30,,56.2,0.0010292604028819291,3.257730829528106,7.0,43.0
2015-07-21,22.6,,30,,,0.0010292604028819291,4.245234208437035,7.0,33.0
2015-08-26,,24603,30,,,0.0010292604028819291,3.3353203807280933,7.0,42.0
,,24603,210,,54.7,0.0010292604028819291,3.891378830994668,7.0,36.0
2017-01-04,25.1,,,,54.9,0.0010292604028819291,3.416694788084178,7.0,41.0
2015-03-24,21.2,,20,,,0.0010292604028819291,3.045202928415098,7.0,46.0
2017-03-14,24.1,24603,,,,0.0010292604028819291,3.3353203807280933,7.0,42.0
2016-06-14,21.1,,20,,,0.0010292604028819291,3.045202928415098,7.0,46.0
2016-06-14,22.9,,,,,0.0011762976032936333,3.7236690300206434,8.0,43.0
2015-11-10,24.0,,,,,0.0011762976032936333,4.213780439616633,8.0,38.0
2017-06-20,,,,,55.1,0.0011762976032936333,3.9053688696757423,8.0,41.0
2015-12-15,23.2,,,,,0.0011762976032936333,3.558120287223776,8.0,45.0
2017-06-20,,,20,,,0.0011762976032936333,4.3276982267119175,8.0,37.0
2016-03-07,23.8,,,,,0.0011762976032936333,3.2021904902105107,8.0,50.0
2017-02-08,,,,,55.4,0.0011762976032936333,4.44794477975694,8.0,36.0
2018-04-05,,,110,,,0.0011762976032936333,3.2675653508864166,8.0,49.0
2016-06-14,23.0,,,,,0.0011762976032936333,6.6725060110898475,8.0,24.0
2017-06-20,23.8,,,,,0.0011762976032936333,3.139379349561111,8.0,51.0
,24.8,,180,,,0.0011762976032936333,4.003032533490358,8.0,40.0
,25.4,,170,,54.4,0.0011762976032936333,3.139379349561111,8.0,51.0
2018-03-06,,,140,,54.2,0.0011762976032936333,3.6390134229086093,8.0,44.0
,22.0,24602,,,55.1,0.0011762976032936333,3.2675653508864166,8.0,49.0
,23.8,,50,,55.1,0.0011762976032936333,3.7236690300206434,8.0,43.0
2018-03-06,24.0,,,,54.4,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-01-30,25.2,,190,,,0.0011762976032936333,3.0789840220136115,8.0,52.0
2017-02-27,25.3,,170,,,0.0011762976032936333,3.2021904902105107,8.0,50.0
2017-06-19,,,20,,55.3,0.0011762976032936333,3.7236690300206434,8.0,43.0
,22.0,,20,,55.1,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-03-15,,,140,,56.0,0.0011762976032936333,4.44794477975694,8.0,36.0
2016-03-30,,,80,,55.2,0.0011762976032936333,3.7236690300206434,8.0,43.0
2018-03-06,23.5,,140,,,0.0011762976032936333,3.6390134229086093,8.0,44.0
,24.4,,70,,54.8,0.0011762976032936333,4.213780439616633,8.0,38.0
2017-06-19,22.1,,30,,,0.0011762976032936333,4.003032533490358,8.0,40.0
2016-05-16,25.3,,160,,,0.0011762976032936333,3.406660799133025,8.0,47.0
2015-12-15,,,100,,56.0,0.0011762976032936333,3.020867763430168,8.0,53.0
2018-09-14,21.3,24603,,,,0.0011762976032936333,3.335664164090485,8.0,48.0
,22.6,24602,,,55.1,0.0011762976032936333,4.213780439616633,8.0,38.0
2017-06-19,,,20,,55.7,0.0011762976032936333,5.930985600645545,8.0,27.0
2016-07-19,22.5,,,,,0.0013233348037053375,4.869377327857893,9.0,37.0
,24.1,,,,54.5,0.0013233348037053375,3.5323217626273125,9.0,51.0
,24.8,,,,55.1,0.0013233348037053375,3.4643670154933406,9.0,52.0
2018-01-30,24.1,,,,,0.0013233348037053375,4.0034746760895175,9.0,45.0
2018-01-24,,,150,,,0.0013233348037053375,3.1058471426830754,9.0,58.0
2016-05-16,,,210,,,0.0013233348037053375,3.2753292643752006,9.0,55.0
,24.6,,40,,,0.0013233348037053375,4.50407464664311,9.0,40.0
,24.5,,30,,,0.0013233348037053375,5.630424580388692,9.0,32.0
2017-06-19,21.6,,,,,0.0013233348037053375,3.5323217626273125,9.0,51.0
